;file_name;band;sensor;date;patch_type;EID
0;BR0001__CDEM__None__DEM;DEM;CDEM;;None;BR0001
1;BR0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;BR0001
2;BR0001__None__None__MASK;MASK;None;;None;BR0001
3;BR0001__S1SLC__2018-12-29_2019-01-10__DES_COHVV;COHVV;S1SLC;10.01.2019;PRE2;BR0001
4;BR0001__S1SLC__2018-12-29__DES_ALPHA;ALPHA;S1SLC;29.12.2018;PRE3;BR0001
5;BR0001__S1SLC__2018-12-29__DES_ANISOTROPY;ANISOTROPY;S1SLC;29.12.2018;PRE3;BR0001
6;BR0001__S1SLC__2018-12-29__DES_ENTROPY;ENTROPY;S1SLC;29.12.2018;PRE3;BR0001
7;BR0001__S1SLC__2018-12-29__DES_gVH;gVH;S1SLC;29.12.2018;PRE3;BR0001
8;BR0001__S1SLC__2018-12-29__DES_gVV;gVV;S1SLC;29.12.2018;PRE3;BR0001
9;BR0001__S1SLC__2019-01-10_2019-01-22__DES_COHVV;COHVV;S1SLC;22.01.2019;PRE1;BR0001
10;BR0001__S1SLC__2019-01-10__DES_ALPHA;ALPHA;S1SLC;10.01.2019;PRE2;BR0001
11;BR0001__S1SLC__2019-01-10__DES_ANISOTROPY;ANISOTROPY;S1SLC;10.01.2019;PRE2;BR0001
12;BR0001__S1SLC__2019-01-10__DES_ENTROPY;ENTROPY;S1SLC;10.01.2019;PRE2;BR0001
13;BR0001__S1SLC__2019-01-10__DES_gVH;gVH;S1SLC;10.01.2019;PRE2;BR0001
14;BR0001__S1SLC__2019-01-10__DES_gVV;gVV;S1SLC;10.01.2019;PRE2;BR0001
15;BR0001__S1SLC__2019-01-22_2019-02-03__DES_COHVV;COHVV;S1SLC;03.02.2019;POST1;BR0001
16;BR0001__S1SLC__2019-01-22__DES_ALPHA;ALPHA;S1SLC;22.01.2019;PRE1;BR0001
17;BR0001__S1SLC__2019-01-22__DES_ANISOTROPY;ANISOTROPY;S1SLC;22.01.2019;PRE1;BR0001
18;BR0001__S1SLC__2019-01-22__DES_ENTROPY;ENTROPY;S1SLC;22.01.2019;PRE1;BR0001
19;BR0001__S1SLC__2019-01-22__DES_gVH;gVH;S1SLC;22.01.2019;PRE1;BR0001
20;BR0001__S1SLC__2019-01-22__DES_gVV;gVV;S1SLC;22.01.2019;PRE1;BR0001
21;BR0001__S1SLC__2019-02-03_2019-02-15__DES_COHVV;COHVV;S1SLC;15.02.2019;POST2;BR0001
22;BR0001__S1SLC__2019-02-03__DES_ALPHA;ALPHA;S1SLC;03.02.2019;POST1;BR0001
23;BR0001__S1SLC__2019-02-03__DES_ANISOTROPY;ANISOTROPY;S1SLC;03.02.2019;POST1;BR0001
24;BR0001__S1SLC__2019-02-03__DES_ENTROPY;ENTROPY;S1SLC;03.02.2019;POST1;BR0001
25;BR0001__S1SLC__2019-02-03__DES_gVH;gVH;S1SLC;03.02.2019;POST1;BR0001
26;BR0001__S1SLC__2019-02-03__DES_gVV;gVV;S1SLC;03.02.2019;POST1;BR0001
27;BR0001__S1SLC__2019-02-15_2019-02-27__DES_COHVV;COHVV;S1SLC;27.02.2019;POST3;BR0001
28;BR0001__S1SLC__2019-02-15__DES_ALPHA;ALPHA;S1SLC;15.02.2019;POST2;BR0001
29;BR0001__S1SLC__2019-02-15__DES_ANISOTROPY;ANISOTROPY;S1SLC;15.02.2019;POST2;BR0001
30;BR0001__S1SLC__2019-02-15__DES_ENTROPY;ENTROPY;S1SLC;15.02.2019;POST2;BR0001
31;BR0001__S1SLC__2019-02-15__DES_gVH;gVH;S1SLC;15.02.2019;POST2;BR0001
32;BR0001__S1SLC__2019-02-15__DES_gVV;gVV;S1SLC;15.02.2019;POST2;BR0001
33;BR0001__S1SLC__2019-02-27__DES_ALPHA;ALPHA;S1SLC;27.02.2019;POST3;BR0001
34;BR0001__S1SLC__2019-02-27__DES_ANISOTROPY;ANISOTROPY;S1SLC;27.02.2019;POST3;BR0001
35;BR0001__S1SLC__2019-02-27__DES_ENTROPY;ENTROPY;S1SLC;27.02.2019;POST3;BR0001
36;BR0001__S1SLC__2019-02-27__DES_gVH;gVH;S1SLC;27.02.2019;POST3;BR0001
37;BR0001__S1SLC__2019-02-27__DES_gVV;gVV;S1SLC;27.02.2019;POST3;BR0001
38;BR0001__S2L2A__2019-01-07__B02;B02;S2L2A;07.01.2019;PRE1;BR0001
39;BR0001__S2L2A__2019-01-07__B03;B03;S2L2A;07.01.2019;PRE1;BR0001
40;BR0001__S2L2A__2019-01-07__B04;B04;S2L2A;07.01.2019;PRE1;BR0001
41;BR0001__S2L2A__2019-01-07__B05;B05;S2L2A;07.01.2019;PRE1;BR0001
42;BR0001__S2L2A__2019-01-07__B06;B06;S2L2A;07.01.2019;PRE1;BR0001
43;BR0001__S2L2A__2019-01-07__B07;B07;S2L2A;07.01.2019;PRE1;BR0001
44;BR0001__S2L2A__2019-01-07__B08;B08;S2L2A;07.01.2019;PRE1;BR0001
45;BR0001__S2L2A__2019-01-07__B11;B11;S2L2A;07.01.2019;PRE1;BR0001
46;BR0001__S2L2A__2019-01-07__B12;B12;S2L2A;07.01.2019;PRE1;BR0001
47;BR0001__S2L2A__2019-01-07__B8A;B8A;S2L2A;07.01.2019;PRE1;BR0001
48;BR0001__S2L2A__2019-01-07__NDVI;NDVI;S2L2A;07.01.2019;PRE1;BR0001
49;BR0001__S2L2A__2019-02-01__B02;B02;S2L2A;01.02.2019;POST1;BR0001
50;BR0001__S2L2A__2019-02-01__B03;B03;S2L2A;01.02.2019;POST1;BR0001
51;BR0001__S2L2A__2019-02-01__B04;B04;S2L2A;01.02.2019;POST1;BR0001
52;BR0001__S2L2A__2019-02-01__B05;B05;S2L2A;01.02.2019;POST1;BR0001
53;BR0001__S2L2A__2019-02-01__B06;B06;S2L2A;01.02.2019;POST1;BR0001
54;BR0001__S2L2A__2019-02-01__B07;B07;S2L2A;01.02.2019;POST1;BR0001
55;BR0001__S2L2A__2019-02-01__B08;B08;S2L2A;01.02.2019;POST1;BR0001
56;BR0001__S2L2A__2019-02-01__B11;B11;S2L2A;01.02.2019;POST1;BR0001
57;BR0001__S2L2A__2019-02-01__B12;B12;S2L2A;01.02.2019;POST1;BR0001
58;BR0001__S2L2A__2019-02-01__B8A;B8A;S2L2A;01.02.2019;POST1;BR0001
59;BR0001__S2L2A__2019-02-01__NDVI;NDVI;S2L2A;01.02.2019;POST1;BR0001
