;file_name;band;sensor;date;patch_type;EID
0;CA0001__CDEM__None__DEM;DEM;CDEM;;None;CA0001
1;CA0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;CA0001
2;CA0001__None__None__MASK;MASK;None;;None;CA0001
3;CA0001__S1SLC__2021-03-28_2021-04-09__ASC_COHVV;COHVV;S1SLC;09.04.2021;PRE2;CA0001
4;CA0001__S1SLC__2021-03-28__ASC_ALPHA;ALPHA;S1SLC;28.03.2021;PRE3;CA0001
5;CA0001__S1SLC__2021-03-28__ASC_ANISOTROPY;ANISOTROPY;S1SLC;28.03.2021;PRE3;CA0001
6;CA0001__S1SLC__2021-03-28__ASC_ENTROPY;ENTROPY;S1SLC;28.03.2021;PRE3;CA0001
7;CA0001__S1SLC__2021-03-28__ASC_gVH;gVH;S1SLC;28.03.2021;PRE3;CA0001
8;CA0001__S1SLC__2021-03-28__ASC_gVV;gVV;S1SLC;28.03.2021;PRE3;CA0001
9;CA0001__S1SLC__2021-04-09_2021-04-21__ASC_COHVV;COHVV;S1SLC;21.04.2021;PRE1;CA0001
10;CA0001__S1SLC__2021-04-09__ASC_ALPHA;ALPHA;S1SLC;09.04.2021;PRE2;CA0001
11;CA0001__S1SLC__2021-04-09__ASC_ANISOTROPY;ANISOTROPY;S1SLC;09.04.2021;PRE2;CA0001
12;CA0001__S1SLC__2021-04-09__ASC_ENTROPY;ENTROPY;S1SLC;09.04.2021;PRE2;CA0001
13;CA0001__S1SLC__2021-04-09__ASC_gVH;gVH;S1SLC;09.04.2021;PRE2;CA0001
14;CA0001__S1SLC__2021-04-09__ASC_gVV;gVV;S1SLC;09.04.2021;PRE2;CA0001
15;CA0001__S1SLC__2021-04-21_2021-05-03__ASC_COHVV;COHVV;S1SLC;03.05.2021;POST1;CA0001
16;CA0001__S1SLC__2021-04-21__ASC_ALPHA;ALPHA;S1SLC;21.04.2021;PRE1;CA0001
17;CA0001__S1SLC__2021-04-21__ASC_ANISOTROPY;ANISOTROPY;S1SLC;21.04.2021;PRE1;CA0001
18;CA0001__S1SLC__2021-04-21__ASC_ENTROPY;ENTROPY;S1SLC;21.04.2021;PRE1;CA0001
19;CA0001__S1SLC__2021-04-21__ASC_gVH;gVH;S1SLC;21.04.2021;PRE1;CA0001
20;CA0001__S1SLC__2021-04-21__ASC_gVV;gVV;S1SLC;21.04.2021;PRE1;CA0001
21;CA0001__S1SLC__2021-05-03_2021-05-15__ASC_COHVV;COHVV;S1SLC;15.05.2021;POST2;CA0001
22;CA0001__S1SLC__2021-05-03__ASC_ALPHA;ALPHA;S1SLC;03.05.2021;POST1;CA0001
23;CA0001__S1SLC__2021-05-03__ASC_ANISOTROPY;ANISOTROPY;S1SLC;03.05.2021;POST1;CA0001
24;CA0001__S1SLC__2021-05-03__ASC_ENTROPY;ENTROPY;S1SLC;03.05.2021;POST1;CA0001
25;CA0001__S1SLC__2021-05-03__ASC_gVH;gVH;S1SLC;03.05.2021;POST1;CA0001
26;CA0001__S1SLC__2021-05-03__ASC_gVV;gVV;S1SLC;03.05.2021;POST1;CA0001
27;CA0001__S1SLC__2021-05-15_2021-05-27__ASC_COHVV;COHVV;S1SLC;27.05.2021;POST3;CA0001
28;CA0001__S1SLC__2021-05-15__ASC_ALPHA;ALPHA;S1SLC;15.05.2021;POST2;CA0001
29;CA0001__S1SLC__2021-05-15__ASC_ANISOTROPY;ANISOTROPY;S1SLC;15.05.2021;POST2;CA0001
30;CA0001__S1SLC__2021-05-15__ASC_ENTROPY;ENTROPY;S1SLC;15.05.2021;POST2;CA0001
31;CA0001__S1SLC__2021-05-15__ASC_gVH;gVH;S1SLC;15.05.2021;POST2;CA0001
32;CA0001__S1SLC__2021-05-15__ASC_gVV;gVV;S1SLC;15.05.2021;POST2;CA0001
33;CA0001__S1SLC__2021-05-27__ASC_ALPHA;ALPHA;S1SLC;27.05.2021;POST3;CA0001
34;CA0001__S1SLC__2021-05-27__ASC_ANISOTROPY;ANISOTROPY;S1SLC;27.05.2021;POST3;CA0001
35;CA0001__S1SLC__2021-05-27__ASC_ENTROPY;ENTROPY;S1SLC;27.05.2021;POST3;CA0001
36;CA0001__S1SLC__2021-05-27__ASC_gVH;gVH;S1SLC;27.05.2021;POST3;CA0001
37;CA0001__S1SLC__2021-05-27__ASC_gVV;gVV;S1SLC;27.05.2021;POST3;CA0001
38;CA0001__S2L2A__2021-04-12__B02;B02;S2L2A;12.04.2021;PRE1;CA0001
39;CA0001__S2L2A__2021-04-12__B03;B03;S2L2A;12.04.2021;PRE1;CA0001
40;CA0001__S2L2A__2021-04-12__B04;B04;S2L2A;12.04.2021;PRE1;CA0001
41;CA0001__S2L2A__2021-04-12__B05;B05;S2L2A;12.04.2021;PRE1;CA0001
42;CA0001__S2L2A__2021-04-12__B06;B06;S2L2A;12.04.2021;PRE1;CA0001
43;CA0001__S2L2A__2021-04-12__B07;B07;S2L2A;12.04.2021;PRE1;CA0001
44;CA0001__S2L2A__2021-04-12__B08;B08;S2L2A;12.04.2021;PRE1;CA0001
45;CA0001__S2L2A__2021-04-12__B11;B11;S2L2A;12.04.2021;PRE1;CA0001
46;CA0001__S2L2A__2021-04-12__B12;B12;S2L2A;12.04.2021;PRE1;CA0001
47;CA0001__S2L2A__2021-04-12__B8A;B8A;S2L2A;12.04.2021;PRE1;CA0001
48;CA0001__S2L2A__2021-04-12__NDVI;NDVI;S2L2A;12.04.2021;PRE1;CA0001
49;CA0001__S2L2A__2021-04-22__B02;B02;S2L2A;22.04.2021;POST1;CA0001
50;CA0001__S2L2A__2021-04-22__B03;B03;S2L2A;22.04.2021;POST1;CA0001
51;CA0001__S2L2A__2021-04-22__B04;B04;S2L2A;22.04.2021;POST1;CA0001
52;CA0001__S2L2A__2021-04-22__B05;B05;S2L2A;22.04.2021;POST1;CA0001
53;CA0001__S2L2A__2021-04-22__B06;B06;S2L2A;22.04.2021;POST1;CA0001
54;CA0001__S2L2A__2021-04-22__B07;B07;S2L2A;22.04.2021;POST1;CA0001
55;CA0001__S2L2A__2021-04-22__B08;B08;S2L2A;22.04.2021;POST1;CA0001
56;CA0001__S2L2A__2021-04-22__B11;B11;S2L2A;22.04.2021;POST1;CA0001
57;CA0001__S2L2A__2021-04-22__B12;B12;S2L2A;22.04.2021;POST1;CA0001
58;CA0001__S2L2A__2021-04-22__B8A;B8A;S2L2A;22.04.2021;POST1;CA0001
59;CA0001__S2L2A__2021-04-22__NDVI;NDVI;S2L2A;22.04.2021;POST1;CA0001
