;file_name;band;sensor;date;patch_type;EID
0;CL0002__CDEM__None__DEM;DEM;CDEM;;None;CL0002
1;CL0002__CDEM__None__SLOPE;SLOPE;CDEM;;None;CL0002
2;CL0002__None__None__MASK;MASK;None;;None;CL0002
3;CL0002__S1SLC__2021-10-14_2021-10-26__ASC_COHVV;COHVV;S1SLC;26.10.2021;PRE2;CL0002
4;CL0002__S1SLC__2021-10-14__ASC_ALPHA;ALPHA;S1SLC;14.10.2021;PRE3;CL0002
5;CL0002__S1SLC__2021-10-14__ASC_ANISOTROPY;ANISOTROPY;S1SLC;14.10.2021;PRE3;CL0002
6;CL0002__S1SLC__2021-10-14__ASC_ENTROPY;ENTROPY;S1SLC;14.10.2021;PRE3;CL0002
7;CL0002__S1SLC__2021-10-14__ASC_gVH;gVH;S1SLC;14.10.2021;PRE3;CL0002
8;CL0002__S1SLC__2021-10-14__ASC_gVV;gVV;S1SLC;14.10.2021;PRE3;CL0002
9;CL0002__S1SLC__2021-10-26_2021-11-07__ASC_COHVV;COHVV;S1SLC;07.11.2021;PRE1;CL0002
10;CL0002__S1SLC__2021-10-26__ASC_ALPHA;ALPHA;S1SLC;26.10.2021;PRE2;CL0002
11;CL0002__S1SLC__2021-10-26__ASC_ANISOTROPY;ANISOTROPY;S1SLC;26.10.2021;PRE2;CL0002
12;CL0002__S1SLC__2021-10-26__ASC_ENTROPY;ENTROPY;S1SLC;26.10.2021;PRE2;CL0002
13;CL0002__S1SLC__2021-10-26__ASC_gVH;gVH;S1SLC;26.10.2021;PRE2;CL0002
14;CL0002__S1SLC__2021-10-26__ASC_gVV;gVV;S1SLC;26.10.2021;PRE2;CL0002
15;CL0002__S1SLC__2021-11-07_2021-11-19__ASC_COHVV;COHVV;S1SLC;19.11.2021;POST1;CL0002
16;CL0002__S1SLC__2021-11-07__ASC_ALPHA;ALPHA;S1SLC;07.11.2021;PRE1;CL0002
17;CL0002__S1SLC__2021-11-07__ASC_ANISOTROPY;ANISOTROPY;S1SLC;07.11.2021;PRE1;CL0002
