;file_name;band;sensor;date;patch_type;EID
0;CN0002__CDEM__None__DEM;DEM;CDEM;;None;CN0002
1;CN0002__CDEM__None__SLOPE;SLOPE;CDEM;;None;CN0002
2;CN0002__None__None__MASK;MASK;None;;None;CN0002
3;CN0002__S1SLC__2020-06-17_2020-06-29__ASC_COHVV;COHVV;S1SLC;29.06.2020;PRE2;CN0002
4;CN0002__S1SLC__2020-06-17__ASC_ALPHA;ALPHA;S1SLC;17.06.2020;PRE3;CN0002
5;CN0002__S1SLC__2020-06-17__ASC_ANISOTROPY;ANISOTROPY;S1SLC;17.06.2020;PRE3;CN0002
6;CN0002__S1SLC__2020-06-17__ASC_ENTROPY;ENTROPY;S1SLC;17.06.2020;PRE3;CN0002
7;CN0002__S1SLC__2020-06-17__ASC_gVH;gVH;S1SLC;17.06.2020;PRE3;CN0002
8;CN0002__S1SLC__2020-06-17__ASC_gVV;gVV;S1SLC;17.06.2020;PRE3;CN0002
9;CN0002__S1SLC__2020-06-29_2020-07-11__ASC_COHVV;COHVV;S1SLC;11.07.2020;PRE1;CN0002
10;CN0002__S1SLC__2020-06-29__ASC_ALPHA;ALPHA;S1SLC;29.06.2020;PRE2;CN0002
11;CN0002__S1SLC__2020-06-29__ASC_ANISOTROPY;ANISOTROPY;S1SLC;29.06.2020;PRE2;CN0002
12;CN0002__S1SLC__2020-06-29__ASC_ENTROPY;ENTROPY;S1SLC;29.06.2020;PRE2;CN0002
13;CN0002__S1SLC__2020-06-29__ASC_gVH;gVH;S1SLC;29.06.2020;PRE2;CN0002
14;CN0002__S1SLC__2020-06-29__ASC_gVV;gVV;S1SLC;29.06.2020;PRE2;CN0002
15;CN0002__S1SLC__2020-07-11_2020-07-23__ASC_COHVV;COHVV;S1SLC;23.07.2020;POST1;CN0002
16;CN0002__S1SLC__2020-07-11__ASC_ALPHA;ALPHA;S1SLC;11.07.2020;PRE1;CN0002
17;CN0002__S1SLC__2020-07-11__ASC_ANISOTROPY;ANISOTROPY;S1SLC;11.07.2020;PRE1;CN0002
18;CN0002__S1SLC__2020-07-11__ASC_ENTROPY;ENTROPY;S1SLC;11.07.2020;PRE1;CN0002
19;CN0002__S1SLC__2020-07-11__ASC_gVH;gVH;S1SLC;11.07.2020;PRE1;CN0002
20;CN0002__S1SLC__2020-07-11__ASC_gVV;gVV;S1SLC;11.07.2020;PRE1;CN0002
