;file_name;band;sensor;date;patch_type;EID
0;CO0001__CDEM__None__DEM;DEM;CDEM;;None;CO0001
1;CO0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;CO0001
2;CO0001__None__None__MASK;MASK;None;;None;CO0001
3;CO0001__S1SLC__2022-06-11_2022-06-23__DES_COHVV;COHVV;S1SLC;23.06.2022;PRE2;CO0001
4;CO0001__S1SLC__2022-06-11__DES_ALPHA;ALPHA;S1SLC;11.06.2022;PRE3;CO0001
5;CO0001__S1SLC__2022-06-11__DES_ANISOTROPY;ANISOTROPY;S1SLC;11.06.2022;PRE3;CO0001
6;CO0001__S1SLC__2022-06-11__DES_ENTROPY;ENTROPY;S1SLC;11.06.2022;PRE3;CO0001
7;CO0001__S1SLC__2022-06-11__DES_gVH;gVH;S1SLC;11.06.2022;PRE3;CO0001
8;CO0001__S1SLC__2022-06-11__DES_gVV;gVV;S1SLC;11.06.2022;PRE3;CO0001
9;CO0001__S1SLC__2022-06-23_2022-07-05__DES_COHVV;COHVV;S1SLC;05.07.2022;PRE1;CO0001
10;CO0001__S1SLC__2022-06-23__DES_ALPHA;ALPHA;S1SLC;23.06.2022;PRE2;CO0001
11;CO0001__S1SLC__2022-06-23__DES_ANISOTROPY;ANISOTROPY;S1SLC;23.06.2022;PRE2;CO0001
12;CO0001__S1SLC__2022-06-23__DES_ENTROPY;ENTROPY;S1SLC;23.06.2022;PRE2;CO0001
13;CO0001__S1SLC__2022-06-23__DES_gVH;gVH;S1SLC;23.06.2022;PRE2;CO0001
14;CO0001__S1SLC__2022-06-23__DES_gVV;gVV;S1SLC;23.06.2022;PRE2;CO0001
15;CO0001__S1SLC__2022-07-05_2022-07-17__DES_COHVV;COHVV;S1SLC;17.07.2022;POST1;CO0001
16;CO0001__S1SLC__2022-07-05__DES_ALPHA;ALPHA;S1SLC;05.07.2022;PRE1;CO0001
17;CO0001__S1SLC__2022-07-05__DES_ANISOTROPY;ANISOTROPY;S1SLC;05.07.2022;PRE1;CO0001
18;CO0001__S1SLC__2022-07-05__DES_ENTROPY;ENTROPY;S1SLC;05.07.2022;PRE1;CO0001
19;CO0001__S1SLC__2022-07-05__DES_gVH;gVH;S1SLC;05.07.2022;PRE1;CO0001
20;CO0001__S1SLC__2022-07-05__DES_gVV;gVV;S1SLC;05.07.2022;PRE1;CO0001
21;CO0001__S1SLC__2022-07-17_2022-07-29__DES_COHVV;COHVV;S1SLC;29.07.2022;POST2;CO0001
22;CO0001__S1SLC__2022-07-17__DES_ALPHA;ALPHA;S1SLC;17.07.2022;POST1;CO0001
23;CO0001__S1SLC__2022-07-17__DES_ANISOTROPY;ANISOTROPY;S1SLC;17.07.2022;POST1;CO0001
24;CO0001__S1SLC__2022-07-17__DES_ENTROPY;ENTROPY;S1SLC;17.07.2022;POST1;CO0001
25;CO0001__S1SLC__2022-07-17__DES_gVH;gVH;S1SLC;17.07.2022;POST1;CO0001
26;CO0001__S1SLC__2022-07-17__DES_gVV;gVV;S1SLC;17.07.2022;POST1;CO0001
27;CO0001__S1SLC__2022-07-29_2022-08-10__DES_COHVV;COHVV;S1SLC;10.08.2022;POST3;CO0001
28;CO0001__S1SLC__2022-07-29__DES_ALPHA;ALPHA;S1SLC;29.07.2022;POST2;CO0001
29;CO0001__S1SLC__2022-07-29__DES_ANISOTROPY;ANISOTROPY;S1SLC;29.07.2022;POST2;CO0001
30;CO0001__S1SLC__2022-07-29__DES_ENTROPY;ENTROPY;S1SLC;29.07.2022;POST2;CO0001
31;CO0001__S1SLC__2022-07-29__DES_gVH;gVH;S1SLC;29.07.2022;POST2;CO0001
32;CO0001__S1SLC__2022-07-29__DES_gVV;gVV;S1SLC;29.07.2022;POST2;CO0001
33;CO0001__S1SLC__2022-08-10__DES_ALPHA;ALPHA;S1SLC;10.08.2022;POST3;CO0001
