;file_name;band;sensor;date;patch_type;EID
0;GT0001__CDEM__None__DEM;DEM;CDEM;;None;GT0001
1;GT0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;GT0001
2;GT0001__None__None__MASK;MASK;None;;None;GT0001
3;GT0001__S1SLC__2020-10-07_2020-10-19__ASC_COHVV;COHVV;S1SLC;19.10.2020;PRE2;GT0001
4;GT0001__S1SLC__2020-10-07__ASC_ALPHA;ALPHA;S1SLC;07.10.2020;PRE3;GT0001
5;GT0001__S1SLC__2020-10-07__ASC_ANISOTROPY;ANISOTROPY;S1SLC;07.10.2020;PRE3;GT0001
6;GT0001__S1SLC__2020-10-07__ASC_ENTROPY;ENTROPY;S1SLC;07.10.2020;PRE3;GT0001
7;GT0001__S1SLC__2020-10-07__ASC_gVH;gVH;S1SLC;07.10.2020;PRE3;GT0001
8;GT0001__S1SLC__2020-10-07__ASC_gVV;gVV;S1SLC;07.10.2020;PRE3;GT0001
9;GT0001__S1SLC__2020-10-19_2020-10-31__ASC_COHVV;COHVV;S1SLC;31.10.2020;PRE1;GT0001
10;GT0001__S1SLC__2020-10-19__ASC_ALPHA;ALPHA;S1SLC;19.10.2020;PRE2;GT0001
11;GT0001__S1SLC__2020-10-19__ASC_ANISOTROPY;ANISOTROPY;S1SLC;19.10.2020;PRE2;GT0001
12;GT0001__S1SLC__2020-10-19__ASC_ENTROPY;ENTROPY;S1SLC;19.10.2020;PRE2;GT0001
13;GT0001__S1SLC__2020-10-19__ASC_gVH;gVH;S1SLC;19.10.2020;PRE2;GT0001
14;GT0001__S1SLC__2020-10-19__ASC_gVV;gVV;S1SLC;19.10.2020;PRE2;GT0001
15;GT0001__S1SLC__2020-10-31_2020-11-12__ASC_COHVV;COHVV;S1SLC;12.11.2020;POST1;GT0001
16;GT0001__S1SLC__2020-10-31__ASC_ALPHA;ALPHA;S1SLC;31.10.2020;PRE1;GT0001
17;GT0001__S1SLC__2020-10-31__ASC_ANISOTROPY;ANISOTROPY;S1SLC;31.10.2020;PRE1;GT0001
18;GT0001__S1SLC__2020-10-31__ASC_ENTROPY;ENTROPY;S1SLC;31.10.2020;PRE1;GT0001
19;GT0001__S1SLC__2020-10-31__ASC_gVH;gVH;S1SLC;31.10.2020;PRE1;GT0001
20;GT0001__S1SLC__2020-10-31__ASC_gVV;gVV;S1SLC;31.10.2020;PRE1;GT0001
21;GT0001__S1SLC__2020-11-12_2020-11-24__ASC_COHVV;COHVV;S1SLC;24.11.2020;POST2;GT0001
22;GT0001__S1SLC__2020-11-12__ASC_ALPHA;ALPHA;S1SLC;12.11.2020;POST1;GT0001
23;GT0001__S1SLC__2020-11-12__ASC_ANISOTROPY;ANISOTROPY;S1SLC;12.11.2020;POST1;GT0001
24;GT0001__S1SLC__2020-11-12__ASC_ENTROPY;ENTROPY;S1SLC;12.11.2020;POST1;GT0001
25;GT0001__S1SLC__2020-11-12__ASC_gVH;gVH;S1SLC;12.11.2020;POST1;GT0001
26;GT0001__S1SLC__2020-11-12__ASC_gVV;gVV;S1SLC;12.11.2020;POST1;GT0001
27;GT0001__S1SLC__2020-11-24_2020-12-06__ASC_COHVV;COHVV;S1SLC;06.12.2020;POST3;GT0001
28;GT0001__S1SLC__2020-11-24__ASC_ALPHA;ALPHA;S1SLC;24.11.2020;POST2;GT0001
29;GT0001__S1SLC__2020-11-24__ASC_ANISOTROPY;ANISOTROPY;S1SLC;24.11.2020;POST2;GT0001
30;GT0001__S1SLC__2020-11-24__ASC_ENTROPY;ENTROPY;S1SLC;24.11.2020;POST2;GT0001
31;GT0001__S1SLC__2020-11-24__ASC_gVH;gVH;S1SLC;24.11.2020;POST2;GT0001
32;GT0001__S1SLC__2020-11-24__ASC_gVV;gVV;S1SLC;24.11.2020;POST2;GT0001
33;GT0001__S1SLC__2020-12-06__ASC_ALPHA;ALPHA;S1SLC;06.12.2020;POST3;GT0001
34;GT0001__S1SLC__2020-12-06__ASC_ANISOTROPY;ANISOTROPY;S1SLC;06.12.2020;POST3;GT0001
35;GT0001__S1SLC__2020-12-06__ASC_ENTROPY;ENTROPY;S1SLC;06.12.2020;POST3;GT0001
36;GT0001__S1SLC__2020-12-06__ASC_gVH;gVH;S1SLC;06.12.2020;POST3;GT0001
37;GT0001__S1SLC__2020-12-06__ASC_gVV;gVV;S1SLC;06.12.2020;POST3;GT0001
38;GT0001__S2L2A__2020-07-13__B02;B02;S2L2A;13.07.2020;PRE1;GT0001
39;GT0001__S2L2A__2020-07-13__B03;B03;S2L2A;13.07.2020;PRE1;GT0001
40;GT0001__S2L2A__2020-07-13__B04;B04;S2L2A;13.07.2020;PRE1;GT0001
41;GT0001__S2L2A__2020-07-13__B05;B05;S2L2A;13.07.2020;PRE1;GT0001
42;GT0001__S2L2A__2020-07-13__B06;B06;S2L2A;13.07.2020;PRE1;GT0001
43;GT0001__S2L2A__2020-07-13__B07;B07;S2L2A;13.07.2020;PRE1;GT0001
44;GT0001__S2L2A__2020-07-13__B08;B08;S2L2A;13.07.2020;PRE1;GT0001
45;GT0001__S2L2A__2020-07-13__B11;B11;S2L2A;13.07.2020;PRE1;GT0001
46;GT0001__S2L2A__2020-07-13__B12;B12;S2L2A;13.07.2020;PRE1;GT0001
47;GT0001__S2L2A__2020-07-13__B8A;B8A;S2L2A;13.07.2020;PRE1;GT0001
48;GT0001__S2L2A__2020-07-13__NDVI;NDVI;S2L2A;13.07.2020;PRE1;GT0001
49;GT0001__S2L2A__2020-11-10__B02;B02;S2L2A;10.11.2020;POST1;GT0001
50;GT0001__S2L2A__2020-11-10__B03;B03;S2L2A;10.11.2020;POST1;GT0001
51;GT0001__S2L2A__2020-11-10__B04;B04;S2L2A;10.11.2020;POST1;GT0001
52;GT0001__S2L2A__2020-11-10__B05;B05;S2L2A;10.11.2020;POST1;GT0001
53;GT0001__S2L2A__2020-11-10__B06;B06;S2L2A;10.11.2020;POST1;GT0001
54;GT0001__S2L2A__2020-11-10__B07;B07;S2L2A;10.11.2020;POST1;GT0001
