;file_name;band;sensor;date;patch_type;EID
0;IE0001__CDEM__None__DEM;DEM;CDEM;;None;IE0001
1;IE0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;IE0001
2;IE0001__None__None__MASK;MASK;None;;None;IE0001
3;IE0001__S1SLC__2021-06-20_2021-06-26__DES_COHVV;COHVV;S1SLC;26.06.2021;PRE2;IE0001
4;IE0001__S1SLC__2021-06-20__DES_ALPHA;ALPHA;S1SLC;20.06.2021;PRE3;IE0001
5;IE0001__S1SLC__2021-06-20__DES_ANISOTROPY;ANISOTROPY;S1SLC;20.06.2021;PRE3;IE0001
6;IE0001__S1SLC__2021-06-20__DES_ENTROPY;ENTROPY;S1SLC;20.06.2021;PRE3;IE0001
7;IE0001__S1SLC__2021-06-20__DES_gVH;gVH;S1SLC;20.06.2021;PRE3;IE0001
8;IE0001__S1SLC__2021-06-20__DES_gVV;gVV;S1SLC;20.06.2021;PRE3;IE0001
9;IE0001__S1SLC__2021-06-26_2021-07-02__DES_COHVV;COHVV;S1SLC;02.07.2021;PRE1;IE0001
10;IE0001__S1SLC__2021-06-26__DES_ALPHA;ALPHA;S1SLC;26.06.2021;PRE2;IE0001
11;IE0001__S1SLC__2021-06-26__DES_ANISOTROPY;ANISOTROPY;S1SLC;26.06.2021;PRE2;IE0001
12;IE0001__S1SLC__2021-06-26__DES_ENTROPY;ENTROPY;S1SLC;26.06.2021;PRE2;IE0001
13;IE0001__S1SLC__2021-06-26__DES_gVH;gVH;S1SLC;26.06.2021;PRE2;IE0001
14;IE0001__S1SLC__2021-06-26__DES_gVV;gVV;S1SLC;26.06.2021;PRE2;IE0001
15;IE0001__S1SLC__2021-07-02_2021-07-08__DES_COHVV;COHVV;S1SLC;08.07.2021;POST1;IE0001
16;IE0001__S1SLC__2021-07-02__DES_ALPHA;ALPHA;S1SLC;02.07.2021;PRE1;IE0001
17;IE0001__S1SLC__2021-07-02__DES_ANISOTROPY;ANISOTROPY;S1SLC;02.07.2021;PRE1;IE0001
18;IE0001__S1SLC__2021-07-02__DES_ENTROPY;ENTROPY;S1SLC;02.07.2021;PRE1;IE0001
19;IE0001__S1SLC__2021-07-02__DES_gVH;gVH;S1SLC;02.07.2021;PRE1;IE0001
20;IE0001__S1SLC__2021-07-02__DES_gVV;gVV;S1SLC;02.07.2021;PRE1;IE0001
21;IE0001__S1SLC__2021-07-08_2021-07-14__DES_COHVV;COHVV;S1SLC;14.07.2021;POST2;IE0001
22;IE0001__S1SLC__2021-07-08__DES_ALPHA;ALPHA;S1SLC;08.07.2021;POST1;IE0001
23;IE0001__S1SLC__2021-07-08__DES_ANISOTROPY;ANISOTROPY;S1SLC;08.07.2021;POST1;IE0001
24;IE0001__S1SLC__2021-07-08__DES_ENTROPY;ENTROPY;S1SLC;08.07.2021;POST1;IE0001
25;IE0001__S1SLC__2021-07-08__DES_gVH;gVH;S1SLC;08.07.2021;POST1;IE0001
26;IE0001__S1SLC__2021-07-08__DES_gVV;gVV;S1SLC;08.07.2021;POST1;IE0001
