;file_name;band;sensor;date;patch_type;EID
0;IN0002__CDEM__None__DEM;DEM;CDEM;;None;IN0002
1;IN0002__CDEM__None__SLOPE;SLOPE;CDEM;;None;IN0002
2;IN0002__None__None__MASK;MASK;None;;None;IN0002
3;IN0002__S1SLC__2018-07-16_2018-07-28__DES_COHVV;COHVV;S1SLC;28.07.2018;PRE2;IN0002
4;IN0002__S1SLC__2018-07-16__DES_ALPHA;ALPHA;S1SLC;16.07.2018;PRE3;IN0002
5;IN0002__S1SLC__2018-07-16__DES_ANISOTROPY;ANISOTROPY;S1SLC;16.07.2018;PRE3;IN0002
6;IN0002__S1SLC__2018-07-16__DES_ENTROPY;ENTROPY;S1SLC;16.07.2018;PRE3;IN0002
7;IN0002__S1SLC__2018-07-16__DES_gVH;gVH;S1SLC;16.07.2018;PRE3;IN0002
8;IN0002__S1SLC__2018-07-16__DES_gVV;gVV;S1SLC;16.07.2018;PRE3;IN0002
9;IN0002__S1SLC__2018-07-28_2018-08-09__DES_COHVV;COHVV;S1SLC;09.08.2018;PRE1;IN0002
10;IN0002__S1SLC__2018-07-28__DES_ALPHA;ALPHA;S1SLC;28.07.2018;PRE2;IN0002
11;IN0002__S1SLC__2018-07-28__DES_ANISOTROPY;ANISOTROPY;S1SLC;28.07.2018;PRE2;IN0002
12;IN0002__S1SLC__2018-07-28__DES_ENTROPY;ENTROPY;S1SLC;28.07.2018;PRE2;IN0002
13;IN0002__S1SLC__2018-07-28__DES_gVH;gVH;S1SLC;28.07.2018;PRE2;IN0002
14;IN0002__S1SLC__2018-07-28__DES_gVV;gVV;S1SLC;28.07.2018;PRE2;IN0002
15;IN0002__S1SLC__2018-08-09_2018-08-21__DES_COHVV;COHVV;S1SLC;21.08.2018;POST1;IN0002
16;IN0002__S1SLC__2018-08-09__DES_ALPHA;ALPHA;S1SLC;09.08.2018;PRE1;IN0002
17;IN0002__S1SLC__2018-08-09__DES_ANISOTROPY;ANISOTROPY;S1SLC;09.08.2018;PRE1;IN0002
18;IN0002__S1SLC__2018-08-09__DES_ENTROPY;ENTROPY;S1SLC;09.08.2018;PRE1;IN0002
19;IN0002__S1SLC__2018-08-09__DES_gVH;gVH;S1SLC;09.08.2018;PRE1;IN0002
20;IN0002__S1SLC__2018-08-09__DES_gVV;gVV;S1SLC;09.08.2018;PRE1;IN0002
21;IN0002__S1SLC__2018-08-21_2018-09-02__DES_COHVV;COHVV;S1SLC;02.09.2018;POST2;IN0002
22;IN0002__S1SLC__2018-08-21__DES_ALPHA;ALPHA;S1SLC;21.08.2018;POST1;IN0002
23;IN0002__S1SLC__2018-08-21__DES_ANISOTROPY;ANISOTROPY;S1SLC;21.08.2018;POST1;IN0002
24;IN0002__S1SLC__2018-08-21__DES_ENTROPY;ENTROPY;S1SLC;21.08.2018;POST1;IN0002
25;IN0002__S1SLC__2018-08-21__DES_gVH;gVH;S1SLC;21.08.2018;POST1;IN0002
26;IN0002__S1SLC__2018-08-21__DES_gVV;gVV;S1SLC;21.08.2018;POST1;IN0002
27;IN0002__S1SLC__2018-09-02_2018-09-14__DES_COHVV;COHVV;S1SLC;14.09.2018;POST3;IN0002
28;IN0002__S1SLC__2018-09-02__DES_ALPHA;ALPHA;S1SLC;02.09.2018;POST2;IN0002
29;IN0002__S1SLC__2018-09-02__DES_ANISOTROPY;ANISOTROPY;S1SLC;02.09.2018;POST2;IN0002
30;IN0002__S1SLC__2018-09-02__DES_ENTROPY;ENTROPY;S1SLC;02.09.2018;POST2;IN0002
31;IN0002__S1SLC__2018-09-02__DES_gVH;gVH;S1SLC;02.09.2018;POST2;IN0002
32;IN0002__S1SLC__2018-09-02__DES_gVV;gVV;S1SLC;02.09.2018;POST2;IN0002
33;IN0002__S1SLC__2018-09-14__DES_ALPHA;ALPHA;S1SLC;14.09.2018;POST3;IN0002
34;IN0002__S1SLC__2018-09-14__DES_ANISOTROPY;ANISOTROPY;S1SLC;14.09.2018;POST3;IN0002
35;IN0002__S1SLC__2018-09-14__DES_ENTROPY;ENTROPY;S1SLC;14.09.2018;POST3;IN0002
36;IN0002__S1SLC__2018-09-14__DES_gVH;gVH;S1SLC;14.09.2018;POST3;IN0002
37;IN0002__S1SLC__2018-09-14__DES_gVV;gVV;S1SLC;14.09.2018;POST3;IN0002
38;IN0002__S2L2A__2018-06-16__B02;B02;S2L2A;16.06.2018;PRE1;IN0002
39;IN0002__S2L2A__2018-06-16__B03;B03;S2L2A;16.06.2018;PRE1;IN0002
40;IN0002__S2L2A__2018-06-16__B04;B04;S2L2A;16.06.2018;PRE1;IN0002
41;IN0002__S2L2A__2018-06-16__B05;B05;S2L2A;16.06.2018;PRE1;IN0002
42;IN0002__S2L2A__2018-06-16__B06;B06;S2L2A;16.06.2018;PRE1;IN0002
43;IN0002__S2L2A__2018-06-16__B07;B07;S2L2A;16.06.2018;PRE1;IN0002
44;IN0002__S2L2A__2018-06-16__B08;B08;S2L2A;16.06.2018;PRE1;IN0002
45;IN0002__S2L2A__2018-06-16__B11;B11;S2L2A;16.06.2018;PRE1;IN0002
46;IN0002__S2L2A__2018-06-16__B12;B12;S2L2A;16.06.2018;PRE1;IN0002
47;IN0002__S2L2A__2018-06-16__B8A;B8A;S2L2A;16.06.2018;PRE1;IN0002
48;IN0002__S2L2A__2018-06-16__NDVI;NDVI;S2L2A;16.06.2018;PRE1;IN0002
49;IN0002__S2L2A__2018-09-09__B02;B02;S2L2A;09.09.2018;POST1;IN0002
50;IN0002__S2L2A__2018-09-09__B03;B03;S2L2A;09.09.2018;POST1;IN0002
51;IN0002__S2L2A__2018-09-09__B04;B04;S2L2A;09.09.2018;POST1;IN0002
52;IN0002__S2L2A__2018-09-09__B05;B05;S2L2A;09.09.2018;POST1;IN0002
53;IN0002__S2L2A__2018-09-09__B06;B06;S2L2A;09.09.2018;POST1;IN0002
54;IN0002__S2L2A__2018-09-09__B07;B07;S2L2A;09.09.2018;POST1;IN0002
55;IN0002__S2L2A__2018-09-09__B08;B08;S2L2A;09.09.2018;POST1;IN0002
56;IN0002__S2L2A__2018-09-09__B11;B11;S2L2A;09.09.2018;POST1;IN0002
57;IN0002__S2L2A__2018-09-09__B12;B12;S2L2A;09.09.2018;POST1;IN0002
58;IN0002__S2L2A__2018-09-09__B8A;B8A;S2L2A;09.09.2018;POST1;IN0002
59;IN0002__S2L2A__2018-09-09__NDVI;NDVI;S2L2A;09.09.2018;POST1;IN0002
