;file_name;band;sensor;date;patch_type;EID
0;IR0002__CDEM__None__DEM;DEM;CDEM;;None;IR0002
1;IR0002__CDEM__None__SLOPE;SLOPE;CDEM;;None;IR0002
2;IR0002__None__None__MASK;MASK;None;;None;IR0002
3;IR0002__S1SLC__2018-05-19_2018-05-31__ASC_COHVV;COHVV;S1SLC;31.05.2018;PRE2;IR0002
4;IR0002__S1SLC__2018-05-19__ASC_ALPHA;ALPHA;S1SLC;19.05.2018;PRE3;IR0002
5;IR0002__S1SLC__2018-05-19__ASC_ANISOTROPY;ANISOTROPY;S1SLC;19.05.2018;PRE3;IR0002
6;IR0002__S1SLC__2018-05-19__ASC_ENTROPY;ENTROPY;S1SLC;19.05.2018;PRE3;IR0002
7;IR0002__S1SLC__2018-05-19__ASC_gVH;gVH;S1SLC;19.05.2018;PRE3;IR0002
8;IR0002__S1SLC__2018-05-19__ASC_gVV;gVV;S1SLC;19.05.2018;PRE3;IR0002
9;IR0002__S1SLC__2018-05-31_2018-06-12__ASC_COHVV;COHVV;S1SLC;12.06.2018;PRE1;IR0002
10;IR0002__S1SLC__2018-05-31__ASC_ALPHA;ALPHA;S1SLC;31.05.2018;PRE2;IR0002
11;IR0002__S1SLC__2018-05-31__ASC_ANISOTROPY;ANISOTROPY;S1SLC;31.05.2018;PRE2;IR0002
12;IR0002__S1SLC__2018-05-31__ASC_ENTROPY;ENTROPY;S1SLC;31.05.2018;PRE2;IR0002
13;IR0002__S1SLC__2018-05-31__ASC_gVH;gVH;S1SLC;31.05.2018;PRE2;IR0002
14;IR0002__S1SLC__2018-05-31__ASC_gVV;gVV;S1SLC;31.05.2018;PRE2;IR0002
15;IR0002__S1SLC__2018-06-12_2018-06-24__ASC_COHVV;COHVV;S1SLC;24.06.2018;POST1;IR0002
16;IR0002__S1SLC__2018-06-12__ASC_ALPHA;ALPHA;S1SLC;12.06.2018;PRE1;IR0002
17;IR0002__S1SLC__2018-06-12__ASC_ANISOTROPY;ANISOTROPY;S1SLC;12.06.2018;PRE1;IR0002
