;file_name;band;sensor;date;patch_type;EID
0;IS0001__CDEM__None__DEM;DEM;CDEM;;None;IS0001
1;IS0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;IS0001
2;IS0001__None__None__MASK;MASK;None;;None;IS0001
3;IS0001__S1SLC__2018-06-03_2018-06-15__DES_COHVV;COHVV;S1SLC;15.06.2018;PRE2;IS0001
4;IS0001__S1SLC__2018-06-03__DES_ALPHA;ALPHA;S1SLC;03.06.2018;PRE3;IS0001
5;IS0001__S1SLC__2018-06-03__DES_ANISOTROPY;ANISOTROPY;S1SLC;03.06.2018;PRE3;IS0001
6;IS0001__S1SLC__2018-06-03__DES_ENTROPY;ENTROPY;S1SLC;03.06.2018;PRE3;IS0001
7;IS0001__S1SLC__2018-06-03__DES_gVH;gVH;S1SLC;03.06.2018;PRE3;IS0001
8;IS0001__S1SLC__2018-06-03__DES_gVV;gVV;S1SLC;03.06.2018;PRE3;IS0001
9;IS0001__S1SLC__2018-06-15_2018-06-27__DES_COHVV;COHVV;S1SLC;27.06.2018;PRE1;IS0001
10;IS0001__S1SLC__2018-06-15__DES_ALPHA;ALPHA;S1SLC;15.06.2018;PRE2;IS0001
11;IS0001__S1SLC__2018-06-15__DES_ANISOTROPY;ANISOTROPY;S1SLC;15.06.2018;PRE2;IS0001
12;IS0001__S1SLC__2018-06-15__DES_ENTROPY;ENTROPY;S1SLC;15.06.2018;PRE2;IS0001
13;IS0001__S1SLC__2018-06-15__DES_gVH;gVH;S1SLC;15.06.2018;PRE2;IS0001
14;IS0001__S1SLC__2018-06-15__DES_gVV;gVV;S1SLC;15.06.2018;PRE2;IS0001
15;IS0001__S1SLC__2018-06-27_2018-07-09__DES_COHVV;COHVV;S1SLC;09.07.2018;POST1;IS0001
16;IS0001__S1SLC__2018-06-27__DES_ALPHA;ALPHA;S1SLC;27.06.2018;PRE1;IS0001
17;IS0001__S1SLC__2018-06-27__DES_ANISOTROPY;ANISOTROPY;S1SLC;27.06.2018;PRE1;IS0001
18;IS0001__S1SLC__2018-06-27__DES_ENTROPY;ENTROPY;S1SLC;27.06.2018;PRE1;IS0001
19;IS0001__S1SLC__2018-06-27__DES_gVH;gVH;S1SLC;27.06.2018;PRE1;IS0001
