;file_name;band;sensor;date;patch_type;EID
0;IT0001__CDEM__None__DEM;DEM;CDEM;;None;IT0001
1;IT0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;IT0001
2;IT0001__None__None__MASK;MASK;None;;None;IT0001
3;IT0001__S1SLC__2019-01-04_2019-01-16__DES_COHVV;COHVV;S1SLC;16.01.2019;PRE2;IT0001
4;IT0001__S1SLC__2019-01-04__DES_ALPHA;ALPHA;S1SLC;04.01.2019;PRE3;IT0001
5;IT0001__S1SLC__2019-01-04__DES_ANISOTROPY;ANISOTROPY;S1SLC;04.01.2019;PRE3;IT0001
6;IT0001__S1SLC__2019-01-04__DES_ENTROPY;ENTROPY;S1SLC;04.01.2019;PRE3;IT0001
7;IT0001__S1SLC__2019-01-04__DES_gVH;gVH;S1SLC;04.01.2019;PRE3;IT0001
8;IT0001__S1SLC__2019-01-04__DES_gVV;gVV;S1SLC;04.01.2019;PRE3;IT0001
9;IT0001__S1SLC__2019-01-16_2019-01-28__DES_COHVV;COHVV;S1SLC;28.01.2019;PRE1;IT0001
10;IT0001__S1SLC__2019-01-16__DES_ALPHA;ALPHA;S1SLC;16.01.2019;PRE2;IT0001
11;IT0001__S1SLC__2019-01-16__DES_ANISOTROPY;ANISOTROPY;S1SLC;16.01.2019;PRE2;IT0001
12;IT0001__S1SLC__2019-01-16__DES_ENTROPY;ENTROPY;S1SLC;16.01.2019;PRE2;IT0001
13;IT0001__S1SLC__2019-01-16__DES_gVH;gVH;S1SLC;16.01.2019;PRE2;IT0001
14;IT0001__S1SLC__2019-01-16__DES_gVV;gVV;S1SLC;16.01.2019;PRE2;IT0001
15;IT0001__S1SLC__2019-01-28_2019-02-09__DES_COHVV;COHVV;S1SLC;09.02.2019;POST1;IT0001
16;IT0001__S1SLC__2019-01-28__DES_ALPHA;ALPHA;S1SLC;28.01.2019;PRE1;IT0001
17;IT0001__S1SLC__2019-01-28__DES_ANISOTROPY;ANISOTROPY;S1SLC;28.01.2019;PRE1;IT0001
18;IT0001__S1SLC__2019-01-28__DES_ENTROPY;ENTROPY;S1SLC;28.01.2019;PRE1;IT0001
19;IT0001__S1SLC__2019-01-28__DES_gVH;gVH;S1SLC;28.01.2019;PRE1;IT0001
20;IT0001__S1SLC__2019-01-28__DES_gVV;gVV;S1SLC;28.01.2019;PRE1;IT0001
21;IT0001__S1SLC__2019-02-09_2019-02-21__DES_COHVV;COHVV;S1SLC;21.02.2019;POST2;IT0001
22;IT0001__S1SLC__2019-02-09__DES_ALPHA;ALPHA;S1SLC;09.02.2019;POST1;IT0001
23;IT0001__S1SLC__2019-02-09__DES_ANISOTROPY;ANISOTROPY;S1SLC;09.02.2019;POST1;IT0001
24;IT0001__S1SLC__2019-02-09__DES_ENTROPY;ENTROPY;S1SLC;09.02.2019;POST1;IT0001
25;IT0001__S1SLC__2019-02-09__DES_gVH;gVH;S1SLC;09.02.2019;POST1;IT0001
26;IT0001__S1SLC__2019-02-09__DES_gVV;gVV;S1SLC;09.02.2019;POST1;IT0001
27;IT0001__S1SLC__2019-02-21_2019-03-05__DES_COHVV;COHVV;S1SLC;05.03.2019;POST3;IT0001
28;IT0001__S1SLC__2019-02-21__DES_ALPHA;ALPHA;S1SLC;21.02.2019;POST2;IT0001
29;IT0001__S1SLC__2019-02-21__DES_ANISOTROPY;ANISOTROPY;S1SLC;21.02.2019;POST2;IT0001
30;IT0001__S1SLC__2019-02-21__DES_ENTROPY;ENTROPY;S1SLC;21.02.2019;POST2;IT0001
31;IT0001__S1SLC__2019-02-21__DES_gVH;gVH;S1SLC;21.02.2019;POST2;IT0001
32;IT0001__S1SLC__2019-02-21__DES_gVV;gVV;S1SLC;21.02.2019;POST2;IT0001
33;IT0001__S1SLC__2019-03-05__DES_ALPHA;ALPHA;S1SLC;05.03.2019;POST3;IT0001
34;IT0001__S1SLC__2019-03-05__DES_ANISOTROPY;ANISOTROPY;S1SLC;05.03.2019;POST3;IT0001
35;IT0001__S1SLC__2019-03-05__DES_ENTROPY;ENTROPY;S1SLC;05.03.2019;POST3;IT0001
36;IT0001__S1SLC__2019-03-05__DES_gVH;gVH;S1SLC;05.03.2019;POST3;IT0001
37;IT0001__S1SLC__2019-03-05__DES_gVV;gVV;S1SLC;05.03.2019;POST3;IT0001
38;IT0001__S2L2A__2019-01-20__B02;B02;S2L2A;20.01.2019;PRE1;IT0001
39;IT0001__S2L2A__2019-01-20__B03;B03;S2L2A;20.01.2019;PRE1;IT0001
40;IT0001__S2L2A__2019-01-20__B04;B04;S2L2A;20.01.2019;PRE1;IT0001
41;IT0001__S2L2A__2019-01-20__B05;B05;S2L2A;20.01.2019;PRE1;IT0001
42;IT0001__S2L2A__2019-01-20__B06;B06;S2L2A;20.01.2019;PRE1;IT0001
43;IT0001__S2L2A__2019-01-20__B07;B07;S2L2A;20.01.2019;PRE1;IT0001
44;IT0001__S2L2A__2019-01-20__B08;B08;S2L2A;20.01.2019;PRE1;IT0001
45;IT0001__S2L2A__2019-01-20__B11;B11;S2L2A;20.01.2019;PRE1;IT0001
46;IT0001__S2L2A__2019-01-20__B12;B12;S2L2A;20.01.2019;PRE1;IT0001
47;IT0001__S2L2A__2019-01-20__B8A;B8A;S2L2A;20.01.2019;PRE1;IT0001
48;IT0001__S2L2A__2019-01-20__NDVI;NDVI;S2L2A;20.01.2019;PRE1;IT0001
49;IT0001__S2L2A__2019-02-07__B02;B02;S2L2A;07.02.2019;POST1;IT0001
50;IT0001__S2L2A__2019-02-07__B03;B03;S2L2A;07.02.2019;POST1;IT0001
51;IT0001__S2L2A__2019-02-07__B04;B04;S2L2A;07.02.2019;POST1;IT0001
52;IT0001__S2L2A__2019-02-07__B05;B05;S2L2A;07.02.2019;POST1;IT0001
53;IT0001__S2L2A__2019-02-07__B06;B06;S2L2A;07.02.2019;POST1;IT0001
54;IT0001__S2L2A__2019-02-07__B07;B07;S2L2A;07.02.2019;POST1;IT0001
55;IT0001__S2L2A__2019-02-07__B08;B08;S2L2A;07.02.2019;POST1;IT0001
56;IT0001__S2L2A__2019-02-07__B11;B11;S2L2A;07.02.2019;POST1;IT0001
57;IT0001__S2L2A__2019-02-07__B12;B12;S2L2A;07.02.2019;POST1;IT0001
58;IT0001__S2L2A__2019-02-07__B8A;B8A;S2L2A;07.02.2019;POST1;IT0001
59;IT0001__S2L2A__2019-02-07__NDVI;NDVI;S2L2A;07.02.2019;POST1;IT0001
