;file_name;band;sensor;date;patch_type;EID
0;JP0001__CDEM__None__DEM;DEM;CDEM;;None;JP0001
1;JP0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;JP0001
2;JP0001__None__None__MASK;MASK;None;;None;JP0001
3;JP0001__S1SLC__2021-05-22_2021-06-15__ASC_COHVV;COHVV;S1SLC;15.06.2021;PRE2;JP0001
4;JP0001__S1SLC__2021-05-22__ASC_ALPHA;ALPHA;S1SLC;22.05.2021;PRE3;JP0001
5;JP0001__S1SLC__2021-05-22__ASC_ANISOTROPY;ANISOTROPY;S1SLC;22.05.2021;PRE3;JP0001
6;JP0001__S1SLC__2021-05-22__ASC_ENTROPY;ENTROPY;S1SLC;22.05.2021;PRE3;JP0001
7;JP0001__S1SLC__2021-05-22__ASC_gVH;gVH;S1SLC;22.05.2021;PRE3;JP0001
8;JP0001__S1SLC__2021-05-22__ASC_gVV;gVV;S1SLC;22.05.2021;PRE3;JP0001
9;JP0001__S1SLC__2021-06-15_2021-06-27__ASC_COHVV;COHVV;S1SLC;27.06.2021;PRE1;JP0001
10;JP0001__S1SLC__2021-06-15__ASC_ALPHA;ALPHA;S1SLC;15.06.2021;PRE2;JP0001
11;JP0001__S1SLC__2021-06-15__ASC_ANISOTROPY;ANISOTROPY;S1SLC;15.06.2021;PRE2;JP0001
12;JP0001__S1SLC__2021-06-15__ASC_ENTROPY;ENTROPY;S1SLC;15.06.2021;PRE2;JP0001
13;JP0001__S1SLC__2021-06-15__ASC_gVH;gVH;S1SLC;15.06.2021;PRE2;JP0001
14;JP0001__S1SLC__2021-06-15__ASC_gVV;gVV;S1SLC;15.06.2021;PRE2;JP0001
15;JP0001__S1SLC__2021-06-27_2021-07-09__ASC_COHVV;COHVV;S1SLC;09.07.2021;POST1;JP0001
16;JP0001__S1SLC__2021-06-27__ASC_ALPHA;ALPHA;S1SLC;27.06.2021;PRE1;JP0001
17;JP0001__S1SLC__2021-06-27__ASC_ANISOTROPY;ANISOTROPY;S1SLC;27.06.2021;PRE1;JP0001
18;JP0001__S1SLC__2021-06-27__ASC_ENTROPY;ENTROPY;S1SLC;27.06.2021;PRE1;JP0001
19;JP0001__S1SLC__2021-06-27__ASC_gVH;gVH;S1SLC;27.06.2021;PRE1;JP0001
20;JP0001__S1SLC__2021-06-27__ASC_gVV;gVV;S1SLC;27.06.2021;PRE1;JP0001
21;JP0001__S1SLC__2021-07-09_2021-07-21__ASC_COHVV;COHVV;S1SLC;21.07.2021;POST2;JP0001
22;JP0001__S1SLC__2021-07-09__ASC_ALPHA;ALPHA;S1SLC;09.07.2021;POST1;JP0001
23;JP0001__S1SLC__2021-07-09__ASC_ANISOTROPY;ANISOTROPY;S1SLC;09.07.2021;POST1;JP0001
24;JP0001__S1SLC__2021-07-09__ASC_ENTROPY;ENTROPY;S1SLC;09.07.2021;POST1;JP0001
25;JP0001__S1SLC__2021-07-09__ASC_gVH;gVH;S1SLC;09.07.2021;POST1;JP0001
26;JP0001__S1SLC__2021-07-09__ASC_gVV;gVV;S1SLC;09.07.2021;POST1;JP0001
27;JP0001__S1SLC__2021-07-21_2021-08-02__ASC_COHVV;COHVV;S1SLC;02.08.2021;POST3;JP0001
28;JP0001__S1SLC__2021-07-21__ASC_ALPHA;ALPHA;S1SLC;21.07.2021;POST2;JP0001
