;file_name;band;sensor;date;patch_type;EID
0;KG0001__CDEM__None__DEM;DEM;CDEM;;None;KG0001
1;KG0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;KG0001
2;KG0001__None__None__MASK;MASK;None;;None;KG0001
3;KG0001__S1SLC__2020-08-18_2020-08-30__DES_COHVV;COHVV;S1SLC;30.08.2020;PRE2;KG0001
4;KG0001__S1SLC__2020-08-18__DES_ALPHA;ALPHA;S1SLC;18.08.2020;PRE3;KG0001
5;KG0001__S1SLC__2020-08-18__DES_ANISOTROPY;ANISOTROPY;S1SLC;18.08.2020;PRE3;KG0001
6;KG0001__S1SLC__2020-08-18__DES_ENTROPY;ENTROPY;S1SLC;18.08.2020;PRE3;KG0001
7;KG0001__S1SLC__2020-08-18__DES_gVH;gVH;S1SLC;18.08.2020;PRE3;KG0001
8;KG0001__S1SLC__2020-08-18__DES_gVV;gVV;S1SLC;18.08.2020;PRE3;KG0001
9;KG0001__S1SLC__2020-08-30_2020-09-11__DES_COHVV;COHVV;S1SLC;11.09.2020;PRE1;KG0001
10;KG0001__S1SLC__2020-08-30__DES_ALPHA;ALPHA;S1SLC;30.08.2020;PRE2;KG0001
11;KG0001__S1SLC__2020-08-30__DES_ANISOTROPY;ANISOTROPY;S1SLC;30.08.2020;PRE2;KG0001
12;KG0001__S1SLC__2020-08-30__DES_ENTROPY;ENTROPY;S1SLC;30.08.2020;PRE2;KG0001
13;KG0001__S1SLC__2020-08-30__DES_gVH;gVH;S1SLC;30.08.2020;PRE2;KG0001
14;KG0001__S1SLC__2020-08-30__DES_gVV;gVV;S1SLC;30.08.2020;PRE2;KG0001
15;KG0001__S1SLC__2020-09-11_2020-09-23__DES_COHVV;COHVV;S1SLC;23.09.2020;POST1;KG0001
16;KG0001__S1SLC__2020-09-11__DES_ALPHA;ALPHA;S1SLC;11.09.2020;PRE1;KG0001
17;KG0001__S1SLC__2020-09-11__DES_ANISOTROPY;ANISOTROPY;S1SLC;11.09.2020;PRE1;KG0001
18;KG0001__S1SLC__2020-09-11__DES_ENTROPY;ENTROPY;S1SLC;11.09.2020;PRE1;KG0001
19;KG0001__S1SLC__2020-09-11__DES_gVH;gVH;S1SLC;11.09.2020;PRE1;KG0001
20;KG0001__S1SLC__2020-09-11__DES_gVV;gVV;S1SLC;11.09.2020;PRE1;KG0001
21;KG0001__S1SLC__2020-09-23_2020-10-05__DES_COHVV;COHVV;S1SLC;05.10.2020;POST2;KG0001
22;KG0001__S1SLC__2020-09-23__DES_ALPHA;ALPHA;S1SLC;23.09.2020;POST1;KG0001
23;KG0001__S1SLC__2020-09-23__DES_ANISOTROPY;ANISOTROPY;S1SLC;23.09.2020;POST1;KG0001
24;KG0001__S1SLC__2020-09-23__DES_ENTROPY;ENTROPY;S1SLC;23.09.2020;POST1;KG0001
25;KG0001__S1SLC__2020-09-23__DES_gVH;gVH;S1SLC;23.09.2020;POST1;KG0001
26;KG0001__S1SLC__2020-09-23__DES_gVV;gVV;S1SLC;23.09.2020;POST1;KG0001
27;KG0001__S1SLC__2020-10-05_2020-10-17__DES_COHVV;COHVV;S1SLC;17.10.2020;POST3;KG0001
28;KG0001__S1SLC__2020-10-05__DES_ALPHA;ALPHA;S1SLC;05.10.2020;POST2;KG0001
29;KG0001__S1SLC__2020-10-05__DES_ANISOTROPY;ANISOTROPY;S1SLC;05.10.2020;POST2;KG0001
30;KG0001__S1SLC__2020-10-05__DES_ENTROPY;ENTROPY;S1SLC;05.10.2020;POST2;KG0001
31;KG0001__S1SLC__2020-10-05__DES_gVH;gVH;S1SLC;05.10.2020;POST2;KG0001
32;KG0001__S1SLC__2020-10-05__DES_gVV;gVV;S1SLC;05.10.2020;POST2;KG0001
33;KG0001__S1SLC__2020-10-17__DES_ALPHA;ALPHA;S1SLC;17.10.2020;POST3;KG0001
34;KG0001__S1SLC__2020-10-17__DES_ANISOTROPY;ANISOTROPY;S1SLC;17.10.2020;POST3;KG0001
35;KG0001__S1SLC__2020-10-17__DES_ENTROPY;ENTROPY;S1SLC;17.10.2020;POST3;KG0001
36;KG0001__S1SLC__2020-10-17__DES_gVH;gVH;S1SLC;17.10.2020;POST3;KG0001
37;KG0001__S1SLC__2020-10-17__DES_gVV;gVV;S1SLC;17.10.2020;POST3;KG0001
38;KG0001__S2L2A__2020-09-07__B02;B02;S2L2A;07.09.2020;PRE1;KG0001
39;KG0001__S2L2A__2020-09-07__B03;B03;S2L2A;07.09.2020;PRE1;KG0001
40;KG0001__S2L2A__2020-09-07__B04;B04;S2L2A;07.09.2020;PRE1;KG0001
41;KG0001__S2L2A__2020-09-07__B05;B05;S2L2A;07.09.2020;PRE1;KG0001
42;KG0001__S2L2A__2020-09-07__B06;B06;S2L2A;07.09.2020;PRE1;KG0001
43;KG0001__S2L2A__2020-09-07__B07;B07;S2L2A;07.09.2020;PRE1;KG0001
44;KG0001__S2L2A__2020-09-07__B08;B08;S2L2A;07.09.2020;PRE1;KG0001
45;KG0001__S2L2A__2020-09-07__B11;B11;S2L2A;07.09.2020;PRE1;KG0001
46;KG0001__S2L2A__2020-09-07__B12;B12;S2L2A;07.09.2020;PRE1;KG0001
47;KG0001__S2L2A__2020-09-07__B8A;B8A;S2L2A;07.09.2020;PRE1;KG0001
48;KG0001__S2L2A__2020-09-07__NDVI;NDVI;S2L2A;07.09.2020;PRE1;KG0001
49;KG0001__S2L2A__2020-09-17__B02;B02;S2L2A;17.09.2020;POST1;KG0001
50;KG0001__S2L2A__2020-09-17__B03;B03;S2L2A;17.09.2020;POST1;KG0001
51;KG0001__S2L2A__2020-09-17__B04;B04;S2L2A;17.09.2020;POST1;KG0001
52;KG0001__S2L2A__2020-09-17__B05;B05;S2L2A;17.09.2020;POST1;KG0001
53;KG0001__S2L2A__2020-09-17__B06;B06;S2L2A;17.09.2020;POST1;KG0001
54;KG0001__S2L2A__2020-09-17__B07;B07;S2L2A;17.09.2020;POST1;KG0001
55;KG0001__S2L2A__2020-09-17__B08;B08;S2L2A;17.09.2020;POST1;KG0001
56;KG0001__S2L2A__2020-09-17__B11;B11;S2L2A;17.09.2020;POST1;KG0001
57;KG0001__S2L2A__2020-09-17__B12;B12;S2L2A;17.09.2020;POST1;KG0001
58;KG0001__S2L2A__2020-09-17__B8A;B8A;S2L2A;17.09.2020;POST1;KG0001
59;KG0001__S2L2A__2020-09-17__NDVI;NDVI;S2L2A;17.09.2020;POST1;KG0001
