;file_name;band;sensor;date;patch_type;EID
0;KR0001__CDEM__None__DEM;DEM;CDEM;;None;KR0001
1;KR0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;KR0001
2;KR0001__None__None__MASK;MASK;None;;None;KR0001
3;KR0001__S1SLC__2020-07-02_2020-07-14__ASC_COHVV;COHVV;S1SLC;14.07.2020;PRE2;KR0001
4;KR0001__S1SLC__2020-07-02__ASC_ALPHA;ALPHA;S1SLC;02.07.2020;PRE3;KR0001
5;KR0001__S1SLC__2020-07-02__ASC_ANISOTROPY;ANISOTROPY;S1SLC;02.07.2020;PRE3;KR0001
6;KR0001__S1SLC__2020-07-02__ASC_ENTROPY;ENTROPY;S1SLC;02.07.2020;PRE3;KR0001
7;KR0001__S1SLC__2020-07-02__ASC_gVH;gVH;S1SLC;02.07.2020;PRE3;KR0001
8;KR0001__S1SLC__2020-07-02__ASC_gVV;gVV;S1SLC;02.07.2020;PRE3;KR0001
9;KR0001__S1SLC__2020-07-14_2020-07-26__ASC_COHVV;COHVV;S1SLC;26.07.2020;PRE1;KR0001
10;KR0001__S1SLC__2020-07-14__ASC_ALPHA;ALPHA;S1SLC;14.07.2020;PRE2;KR0001
11;KR0001__S1SLC__2020-07-14__ASC_ANISOTROPY;ANISOTROPY;S1SLC;14.07.2020;PRE2;KR0001
12;KR0001__S1SLC__2020-07-14__ASC_ENTROPY;ENTROPY;S1SLC;14.07.2020;PRE2;KR0001
13;KR0001__S1SLC__2020-07-14__ASC_gVH;gVH;S1SLC;14.07.2020;PRE2;KR0001
14;KR0001__S1SLC__2020-07-14__ASC_gVV;gVV;S1SLC;14.07.2020;PRE2;KR0001
15;KR0001__S1SLC__2020-07-26_2020-08-07__ASC_COHVV;COHVV;S1SLC;07.08.2020;POST1;KR0001
16;KR0001__S1SLC__2020-07-26__ASC_ALPHA;ALPHA;S1SLC;26.07.2020;PRE1;KR0001
17;KR0001__S1SLC__2020-07-26__ASC_ANISOTROPY;ANISOTROPY;S1SLC;26.07.2020;PRE1;KR0001
18;KR0001__S1SLC__2020-07-26__ASC_ENTROPY;ENTROPY;S1SLC;26.07.2020;PRE1;KR0001
19;KR0001__S1SLC__2020-07-26__ASC_gVH;gVH;S1SLC;26.07.2020;PRE1;KR0001
20;KR0001__S1SLC__2020-07-26__ASC_gVV;gVV;S1SLC;26.07.2020;PRE1;KR0001
21;KR0001__S1SLC__2020-08-07_2020-08-19__ASC_COHVV;COHVV;S1SLC;19.08.2020;POST2;KR0001
22;KR0001__S1SLC__2020-08-07__ASC_ALPHA;ALPHA;S1SLC;07.08.2020;POST1;KR0001
23;KR0001__S1SLC__2020-08-07__ASC_ANISOTROPY;ANISOTROPY;S1SLC;07.08.2020;POST1;KR0001
24;KR0001__S1SLC__2020-08-07__ASC_ENTROPY;ENTROPY;S1SLC;07.08.2020;POST1;KR0001
25;KR0001__S1SLC__2020-08-07__ASC_gVH;gVH;S1SLC;07.08.2020;POST1;KR0001
26;KR0001__S1SLC__2020-08-07__ASC_gVV;gVV;S1SLC;07.08.2020;POST1;KR0001
