;file_name;band;sensor;date;patch_type;EID
0;NZ0001__CDEM__None__DEM;DEM;CDEM;;None;NZ0001
1;NZ0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;NZ0001
2;NZ0001__None__None__MASK;MASK;None;;None;NZ0001
3;NZ0001__S1SLC__2018-01-24_2018-02-05__ASC_COHVV;COHVV;S1SLC;05.02.2018;PRE2;NZ0001
4;NZ0001__S1SLC__2018-01-24__ASC_ALPHA;ALPHA;S1SLC;24.01.2018;PRE3;NZ0001
5;NZ0001__S1SLC__2018-01-24__ASC_ANISOTROPY;ANISOTROPY;S1SLC;24.01.2018;PRE3;NZ0001
6;NZ0001__S1SLC__2018-01-24__ASC_ENTROPY;ENTROPY;S1SLC;24.01.2018;PRE3;NZ0001
7;NZ0001__S1SLC__2018-01-24__ASC_gVH;gVH;S1SLC;24.01.2018;PRE3;NZ0001
8;NZ0001__S1SLC__2018-01-24__ASC_gVV;gVV;S1SLC;24.01.2018;PRE3;NZ0001
9;NZ0001__S1SLC__2018-02-05_2018-02-17__ASC_COHVV;COHVV;S1SLC;17.02.2018;PRE1;NZ0001
10;NZ0001__S1SLC__2018-02-05__ASC_ALPHA;ALPHA;S1SLC;05.02.2018;PRE2;NZ0001
11;NZ0001__S1SLC__2018-02-05__ASC_ANISOTROPY;ANISOTROPY;S1SLC;05.02.2018;PRE2;NZ0001
12;NZ0001__S1SLC__2018-02-05__ASC_ENTROPY;ENTROPY;S1SLC;05.02.2018;PRE2;NZ0001
13;NZ0001__S1SLC__2018-02-05__ASC_gVH;gVH;S1SLC;05.02.2018;PRE2;NZ0001
14;NZ0001__S1SLC__2018-02-05__ASC_gVV;gVV;S1SLC;05.02.2018;PRE2;NZ0001
15;NZ0001__S1SLC__2018-02-17_2018-03-01__ASC_COHVV;COHVV;S1SLC;01.03.2018;POST1;NZ0001
16;NZ0001__S1SLC__2018-02-17__ASC_ALPHA;ALPHA;S1SLC;17.02.2018;PRE1;NZ0001
17;NZ0001__S1SLC__2018-02-17__ASC_ANISOTROPY;ANISOTROPY;S1SLC;17.02.2018;PRE1;NZ0001
18;NZ0001__S1SLC__2018-02-17__ASC_ENTROPY;ENTROPY;S1SLC;17.02.2018;PRE1;NZ0001
19;NZ0001__S1SLC__2018-02-17__ASC_gVH;gVH;S1SLC;17.02.2018;PRE1;NZ0001
20;NZ0001__S1SLC__2018-02-17__ASC_gVV;gVV;S1SLC;17.02.2018;PRE1;NZ0001
21;NZ0001__S1SLC__2018-03-01_2018-03-13__ASC_COHVV;COHVV;S1SLC;13.03.2018;POST2;NZ0001
22;NZ0001__S1SLC__2018-03-01__ASC_ALPHA;ALPHA;S1SLC;01.03.2018;POST1;NZ0001
23;NZ0001__S1SLC__2018-03-01__ASC_ANISOTROPY;ANISOTROPY;S1SLC;01.03.2018;POST1;NZ0001
24;NZ0001__S1SLC__2018-03-01__ASC_ENTROPY;ENTROPY;S1SLC;01.03.2018;POST1;NZ0001
25;NZ0001__S1SLC__2018-03-01__ASC_gVH;gVH;S1SLC;01.03.2018;POST1;NZ0001
26;NZ0001__S1SLC__2018-03-01__ASC_gVV;gVV;S1SLC;01.03.2018;POST1;NZ0001
27;NZ0001__S1SLC__2018-03-13_2018-03-25__ASC_COHVV;COHVV;S1SLC;25.03.2018;POST3;NZ0001
28;NZ0001__S1SLC__2018-03-13__ASC_ALPHA;ALPHA;S1SLC;13.03.2018;POST2;NZ0001
29;NZ0001__S1SLC__2018-03-13__ASC_ANISOTROPY;ANISOTROPY;S1SLC;13.03.2018;POST2;NZ0001
30;NZ0001__S1SLC__2018-03-13__ASC_ENTROPY;ENTROPY;S1SLC;13.03.2018;POST2;NZ0001
31;NZ0001__S1SLC__2018-03-13__ASC_gVH;gVH;S1SLC;13.03.2018;POST2;NZ0001
32;NZ0001__S1SLC__2018-03-13__ASC_gVV;gVV;S1SLC;13.03.2018;POST2;NZ0001
33;NZ0001__S1SLC__2018-03-25__ASC_ALPHA;ALPHA;S1SLC;25.03.2018;POST3;NZ0001
34;NZ0001__S1SLC__2018-03-25__ASC_ANISOTROPY;ANISOTROPY;S1SLC;25.03.2018;POST3;NZ0001
35;NZ0001__S1SLC__2018-03-25__ASC_ENTROPY;ENTROPY;S1SLC;25.03.2018;POST3;NZ0001
36;NZ0001__S1SLC__2018-03-25__ASC_gVH;gVH;S1SLC;25.03.2018;POST3;NZ0001
37;NZ0001__S1SLC__2018-03-25__ASC_gVV;gVV;S1SLC;25.03.2018;POST3;NZ0001
38;NZ0001__S2L2A__2018-02-17__B02;B02;S2L2A;17.02.2018;PRE1;NZ0001
39;NZ0001__S2L2A__2018-02-17__B03;B03;S2L2A;17.02.2018;PRE1;NZ0001
40;NZ0001__S2L2A__2018-02-17__B04;B04;S2L2A;17.02.2018;PRE1;NZ0001
41;NZ0001__S2L2A__2018-02-17__B05;B05;S2L2A;17.02.2018;PRE1;NZ0001
42;NZ0001__S2L2A__2018-02-17__B06;B06;S2L2A;17.02.2018;PRE1;NZ0001
43;NZ0001__S2L2A__2018-02-17__B07;B07;S2L2A;17.02.2018;PRE1;NZ0001
44;NZ0001__S2L2A__2018-02-17__B08;B08;S2L2A;17.02.2018;PRE1;NZ0001
45;NZ0001__S2L2A__2018-02-17__B11;B11;S2L2A;17.02.2018;PRE1;NZ0001
46;NZ0001__S2L2A__2018-02-17__B12;B12;S2L2A;17.02.2018;PRE1;NZ0001
47;NZ0001__S2L2A__2018-02-17__B8A;B8A;S2L2A;17.02.2018;PRE1;NZ0001
48;NZ0001__S2L2A__2018-02-17__NDVI;NDVI;S2L2A;17.02.2018;PRE1;NZ0001
49;NZ0001__S2L2A__2018-02-25__B02;B02;S2L2A;25.02.2018;POST1;NZ0001
50;NZ0001__S2L2A__2018-02-25__B03;B03;S2L2A;25.02.2018;POST1;NZ0001
51;NZ0001__S2L2A__2018-02-25__B04;B04;S2L2A;25.02.2018;POST1;NZ0001
52;NZ0001__S2L2A__2018-02-25__B05;B05;S2L2A;25.02.2018;POST1;NZ0001
