;file_name;band;sensor;date;patch_type;EID
0;PH0003__CDEM__None__DEM;DEM;CDEM;;None;PH0003
1;PH0003__CDEM__None__SLOPE;SLOPE;CDEM;;None;PH0003
2;PH0003__None__None__MASK;MASK;None;;None;PH0003
3;PH0003__S1SLC__2022-03-13_2022-03-25__DES_COHVV;COHVV;S1SLC;25.03.2022;PRE2;PH0003
4;PH0003__S1SLC__2022-03-13__DES_ALPHA;ALPHA;S1SLC;13.03.2022;PRE3;PH0003
5;PH0003__S1SLC__2022-03-13__DES_ANISOTROPY;ANISOTROPY;S1SLC;13.03.2022;PRE3;PH0003
6;PH0003__S1SLC__2022-03-13__DES_ENTROPY;ENTROPY;S1SLC;13.03.2022;PRE3;PH0003
7;PH0003__S1SLC__2022-03-13__DES_gVH;gVH;S1SLC;13.03.2022;PRE3;PH0003
8;PH0003__S1SLC__2022-03-13__DES_gVV;gVV;S1SLC;13.03.2022;PRE3;PH0003
9;PH0003__S1SLC__2022-03-25_2022-04-06__DES_COHVV;COHVV;S1SLC;06.04.2022;PRE1;PH0003
10;PH0003__S1SLC__2022-03-25__DES_ALPHA;ALPHA;S1SLC;25.03.2022;PRE2;PH0003
11;PH0003__S1SLC__2022-03-25__DES_ANISOTROPY;ANISOTROPY;S1SLC;25.03.2022;PRE2;PH0003
12;PH0003__S1SLC__2022-03-25__DES_ENTROPY;ENTROPY;S1SLC;25.03.2022;PRE2;PH0003
13;PH0003__S1SLC__2022-03-25__DES_gVH;gVH;S1SLC;25.03.2022;PRE2;PH0003
14;PH0003__S1SLC__2022-03-25__DES_gVV;gVV;S1SLC;25.03.2022;PRE2;PH0003
15;PH0003__S1SLC__2022-04-06_2022-04-18__DES_COHVV;COHVV;S1SLC;18.04.2022;POST1;PH0003
16;PH0003__S1SLC__2022-04-06__DES_ALPHA;ALPHA;S1SLC;06.04.2022;PRE1;PH0003
17;PH0003__S1SLC__2022-04-06__DES_ANISOTROPY;ANISOTROPY;S1SLC;06.04.2022;PRE1;PH0003
18;PH0003__S1SLC__2022-04-06__DES_ENTROPY;ENTROPY;S1SLC;06.04.2022;PRE1;PH0003
19;PH0003__S1SLC__2022-04-06__DES_gVH;gVH;S1SLC;06.04.2022;PRE1;PH0003
20;PH0003__S1SLC__2022-04-06__DES_gVV;gVV;S1SLC;06.04.2022;PRE1;PH0003
21;PH0003__S1SLC__2022-04-18_2022-04-30__DES_COHVV;COHVV;S1SLC;30.04.2022;POST2;PH0003
22;PH0003__S1SLC__2022-04-18__DES_ALPHA;ALPHA;S1SLC;18.04.2022;POST1;PH0003
23;PH0003__S1SLC__2022-04-18__DES_ANISOTROPY;ANISOTROPY;S1SLC;18.04.2022;POST1;PH0003
