;file_name;band;sensor;date;patch_type;EID
0;PK0001__CDEM__None__DEM;DEM;CDEM;;None;PK0001
1;PK0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;PK0001
2;PK0001__None__None__MASK;MASK;None;;None;PK0001
3;PK0001__S1SLC__2021-06-02_2021-06-14__DES_COHVV;COHVV;S1SLC;14.06.2021;PRE2;PK0001
4;PK0001__S1SLC__2021-06-02__DES_ALPHA;ALPHA;S1SLC;02.06.2021;PRE3;PK0001
5;PK0001__S1SLC__2021-06-02__DES_ANISOTROPY;ANISOTROPY;S1SLC;02.06.2021;PRE3;PK0001
6;PK0001__S1SLC__2021-06-02__DES_ENTROPY;ENTROPY;S1SLC;02.06.2021;PRE3;PK0001
7;PK0001__S1SLC__2021-06-02__DES_gVH;gVH;S1SLC;02.06.2021;PRE3;PK0001
8;PK0001__S1SLC__2021-06-02__DES_gVV;gVV;S1SLC;02.06.2021;PRE3;PK0001
9;PK0001__S1SLC__2021-06-14_2021-06-26__DES_COHVV;COHVV;S1SLC;26.06.2021;PRE1;PK0001
10;PK0001__S1SLC__2021-06-14__DES_ALPHA;ALPHA;S1SLC;14.06.2021;PRE2;PK0001
11;PK0001__S1SLC__2021-06-14__DES_ANISOTROPY;ANISOTROPY;S1SLC;14.06.2021;PRE2;PK0001
12;PK0001__S1SLC__2021-06-14__DES_ENTROPY;ENTROPY;S1SLC;14.06.2021;PRE2;PK0001
13;PK0001__S1SLC__2021-06-14__DES_gVH;gVH;S1SLC;14.06.2021;PRE2;PK0001
14;PK0001__S1SLC__2021-06-14__DES_gVV;gVV;S1SLC;14.06.2021;PRE2;PK0001
15;PK0001__S1SLC__2021-06-26_2021-07-08__DES_COHVV;COHVV;S1SLC;08.07.2021;POST1;PK0001
16;PK0001__S1SLC__2021-06-26__DES_ALPHA;ALPHA;S1SLC;26.06.2021;PRE1;PK0001
17;PK0001__S1SLC__2021-06-26__DES_ANISOTROPY;ANISOTROPY;S1SLC;26.06.2021;PRE1;PK0001
18;PK0001__S1SLC__2021-06-26__DES_ENTROPY;ENTROPY;S1SLC;26.06.2021;PRE1;PK0001
19;PK0001__S1SLC__2021-06-26__DES_gVH;gVH;S1SLC;26.06.2021;PRE1;PK0001
20;PK0001__S1SLC__2021-06-26__DES_gVV;gVV;S1SLC;26.06.2021;PRE1;PK0001
21;PK0001__S1SLC__2021-07-08_2021-07-20__DES_COHVV;COHVV;S1SLC;20.07.2021;POST2;PK0001
22;PK0001__S1SLC__2021-07-08__DES_ALPHA;ALPHA;S1SLC;08.07.2021;POST1;PK0001
23;PK0001__S1SLC__2021-07-08__DES_ANISOTROPY;ANISOTROPY;S1SLC;08.07.2021;POST1;PK0001
24;PK0001__S1SLC__2021-07-08__DES_ENTROPY;ENTROPY;S1SLC;08.07.2021;POST1;PK0001
25;PK0001__S1SLC__2021-07-08__DES_gVH;gVH;S1SLC;08.07.2021;POST1;PK0001
