;file_name;band;sensor;date;patch_type;EID
0;US0001__CDEM__None__DEM;DEM;CDEM;;None;US0001
1;US0001__CDEM__None__SLOPE;SLOPE;CDEM;;None;US0001
2;US0001__None__None__MASK;MASK;None;;None;US0001
3;US0001__S1SLC__2017-04-25_2017-05-07__ASC_COHVV;COHVV;S1SLC;07.05.2017;PRE2;US0001
4;US0001__S1SLC__2017-04-25__ASC_ALPHA;ALPHA;S1SLC;25.04.2017;PRE3;US0001
5;US0001__S1SLC__2017-04-25__ASC_ANISOTROPY;ANISOTROPY;S1SLC;25.04.2017;PRE3;US0001
6;US0001__S1SLC__2017-04-25__ASC_ENTROPY;ENTROPY;S1SLC;25.04.2017;PRE3;US0001
7;US0001__S1SLC__2017-04-25__ASC_gVH;gVH;S1SLC;25.04.2017;PRE3;US0001
8;US0001__S1SLC__2017-04-25__ASC_gVV;gVV;S1SLC;25.04.2017;PRE3;US0001
9;US0001__S1SLC__2017-05-07_2017-05-19__ASC_COHVV;COHVV;S1SLC;19.05.2017;PRE1;US0001
10;US0001__S1SLC__2017-05-07__ASC_ALPHA;ALPHA;S1SLC;07.05.2017;PRE2;US0001
11;US0001__S1SLC__2017-05-07__ASC_ANISOTROPY;ANISOTROPY;S1SLC;07.05.2017;PRE2;US0001
12;US0001__S1SLC__2017-05-07__ASC_ENTROPY;ENTROPY;S1SLC;07.05.2017;PRE2;US0001
13;US0001__S1SLC__2017-05-07__ASC_gVH;gVH;S1SLC;07.05.2017;PRE2;US0001
14;US0001__S1SLC__2017-05-07__ASC_gVV;gVV;S1SLC;07.05.2017;PRE2;US0001
15;US0001__S1SLC__2017-05-19_2017-05-31__ASC_COHVV;COHVV;S1SLC;31.05.2017;POST1;US0001
16;US0001__S1SLC__2017-05-19__ASC_ALPHA;ALPHA;S1SLC;19.05.2017;PRE1;US0001
17;US0001__S1SLC__2017-05-19__ASC_ANISOTROPY;ANISOTROPY;S1SLC;19.05.2017;PRE1;US0001
18;US0001__S1SLC__2017-05-19__ASC_ENTROPY;ENTROPY;S1SLC;19.05.2017;PRE1;US0001
19;US0001__S1SLC__2017-05-19__ASC_gVH;gVH;S1SLC;19.05.2017;PRE1;US0001
20;US0001__S1SLC__2017-05-19__ASC_gVV;gVV;S1SLC;19.05.2017;PRE1;US0001
21;US0001__S1SLC__2017-05-31_2017-06-12__ASC_COHVV;COHVV;S1SLC;12.06.2017;POST2;US0001
22;US0001__S1SLC__2017-05-31__ASC_ALPHA;ALPHA;S1SLC;31.05.2017;POST1;US0001
23;US0001__S1SLC__2017-05-31__ASC_ANISOTROPY;ANISOTROPY;S1SLC;31.05.2017;POST1;US0001
